cell_id,donor,batch,condition,cell_type,n_genes,total_counts,pct_mito,ifn_score,cytotoxic_score,activation_score
C001,D1,B1,control,CD4_T,180,1100,8,0.10,0.20,0.15
C002,D1,B1,stimulated,CD4_T,360,2400,11,0.55,0.30,0.60
C003,D1,B1,control,CD8_T,520,3800,9,0.20,0.75,0.45
C004,D1,B1,stimulated,CD8_T,740,5200,13,0.80,0.95,0.90
C005,D1,B1,control,B_cell,450,3100,7,0.15,0.10,0.25
C006,D1,B1,stimulated,B_cell,610,4500,18,0.62,0.12,0.70
C007,D1,B1,control,Monocyte,300,2700,22,0.12,0.08,0.20
C008,D1,B1,stimulated,Monocyte,890,7300,16,0.90,0.18,0.85
C009,D2,B1,control,CD4_T,260,1800,10,0.18,0.25,0.30
C010,D2,B1,stimulated,CD4_T,480,3400,15,0.70,0.35,0.68
C011,D2,B1,control,CD8_T,510,3900,21,0.22,0.80,0.50
C012,D2,B1,stimulated,CD8_T,690,5000,12,0.85,0.98,0.92
C013,D2,B1,control,B_cell,205,1600,6,0.14,0.05,0.18
C014,D2,B1,stimulated,B_cell,575,4200,19,0.60,0.09,0.65
C015,D2,B1,control,Monocyte,130,900,5,0.08,0.04,0.10
C016,D2,B1,stimulated,Monocyte,820,6800,14,0.88,0.16,0.82
C017,D3,B2,control,CD4_T,390,2500,17,0.19,0.28,0.34
C018,D3,B2,stimulated,CD4_T,540,4100,9,0.76,0.33,0.72
C019,D3,B2,control,CD8_T,470,3500,8,0.25,0.78,0.48
C020,D3,B2,stimulated,CD8_T,760,5600,11,0.92,1.05,0.95
C021,D3,B2,control,B_cell,235,1700,24,0.16,0.06,0.22
C022,D3,B2,stimulated,B_cell,640,4800,13,0.65,0.11,0.74
C023,D3,B2,control,Monocyte,410,3000,18,0.21,0.09,0.27
C024,D3,B2,stimulated,Monocyte,930,7600,10,0.95,0.20,0.90
C025,D4,B2,control,CD4_T,220,1500,12,0.13,0.21,0.23
C026,D4,B2,stimulated,CD4_T,505,3600,23,0.72,0.34,0.66
C027,D4,B2,control,CD8_T,560,4000,6,0.24,0.82,0.52
C028,D4,B2,stimulated,CD8_T,710,5300,17,0.86,1.00,0.91
C029,D4,B2,control,B_cell,340,2300,9,0.12,0.08,0.19
C030,D4,B2,stimulated,B_cell,600,4400,15,0.67,0.10,0.69
C031,D4,B2,control,Monocyte,195,1200,7,0.09,0.05,0.12
C032,D4,B2,stimulated,Monocyte,870,7000,20,0.91,0.19,0.87
